Faculty Name,Categories,All Keywords
Aaron Shimoff,"Accounting, Accounting, Law & Governance, Entrepreneurship, Finance, Operations, Technology",Financial Accounting; Accounting Education; Entrepreneurship; Small Business Management; ; Technology Startups; Small Business Operations; Venture Exit Strategies; 
Ab Igram,"Entrepreneurship, Finance, Finance & Economics, Healthcare, Technology",Entrepreneurship research; Franchising studies; Corporate venture capital; Leveraged finance; Economic analysis; Financial modeling; Debt structuring; Venture valuation; Capital structuring; Franchise investment; Food & Beverage finance; Health & Wellness lending; Hospitality finance; Pet death care; Franchise-focused investment funds; Conscious capital growth; Social impact entrepreneurship; Cross-disciplinary programming
Adam Sulkowski,"Accounting, Accounting, Law & Governance, Entrepreneurship, Law, Sustainability",Business Law; Sustainability; Social Entrepreneurship; Corporate Social Responsibility; Environmental Entrepreneurship; Regime Theory; Proactive Law; Transdisciplinary Analysis; Empirical Study; Systems-Based Approach; Socially Responsible Investing; Cannabis Industry Regulation; Rainforest Conservation; ESG Reporting Governance; Indigenous Shared Governance; Computational Text Analysis; Pandemic Environmental Governance
Ahmed Ahmed,"Economics, Finance, Finance & Economics, Marketing, Technology",intermediary asset pricing; international finance; public-corporate finance; development finance; econometric modeling; quantitative analysis; asset pricing models; risk modeling; stress-testing frameworks; insurance asset management; pension fund management; financial stability analysis; monetary policy evaluation; fiscal policy analysis; macroprudential policy analysis; global monetary transmission; institutional investor behavior; policy-induced instability; cross-border financial linkages
Albert Barnor,"Economics, Finance & Economics",Economics; ; ; 
Alex Adamson,Humanities & Cultural Studies,Social and political philosophy; Latin American decolonial philosophy; Caribbean decolonial philosophy; Queer and feminist philosophy; Philosophy of race; Decolonial critique; Scholar-activism; Queer dialectics; Marxist humanism; Critical race theory; ; Transmarxism; Intersex liberation; Coloniality of gender; Decolonial feminist theory
Alexander Ruggeri,Humanities & Cultural Studies,Literary Modernism; Sound Studies; Audiovisuality; Literary and Film Theory; Poetics; Intellectual History; ; ; 
Alexandra Vivelo,"Leadership & Organizational Development, Sustainability, Technology",fungal ecology; microbial ecology; decomposition ecology; biogeoscience; carbon cycling; meta-analysis; functional genomics; enzyme activity assays; growth rate measurements; climate mitigation; carbon sequestration; ecosystem restoration; evolutionary succession; fungal microbiome; chitin degradation; biogeochemical modeling
Alia Crocker,"Entrepreneurship, Entrepreneurship & Small Ventures, Healthcare, Technology",Strategic management; Human capital; Social capital; Organizational learning; Organizational performance; Absorptive capacity; Market analytics; Forecasting; Social network analysis; Commercial effectiveness; Healthcare consulting; Biotechnology; Pharmaceutical industry; Medical devices; Venture capital-funded startups; Healthcare entrepreneurship; Entrepreneurial ecosystems; Organizational agility; Learning agility
Alicia Sartori,"Humanities & Cultural Studies, Technology",Academic writing; Writing pedagogy; Composition studies; Second language writing; International student support; Qualitative interviews; Survey research; Writing assessment frameworks; Instructional design; Higher education; University writing centers; International student services; Business school education; Digital humanities; AI-assisted writing; Immersive learning environments; Intercultural writing pedagogy
Alina Aronova,"Data, Operations & Supply Chain, Finance, Healthcare, Operations, Retail, Technology",Operations Management; Information Management; Business Analytics; Supply Chain Management; Data Analytics; Process Modeling; Statistical Analysis; Decision Support Systems; Healthcare Logistics; Retail Operations; Financial Services; Manufacturing Processes; Digital Transformation; Industry 4.0; Blockchain Logistics; AI-driven Operations
Alisa Jno-Charles,"Entrepreneurship, Entrepreneurship & Small Ventures, Finance, Marketing",Entrepreneurship studies; Organizational communication; Strategic management; Entrepreneurial finance; Media studies; Discourse analysis; Content analysis; Qualitative interviews; Business intelligence systems; Private equity investment; Hedge fund trading; Real estate finance; Peer-to-peer platforms; Business software ventures; Venture identity development; Social media entrepreneurship; Venture legitimacy signaling; Media-driven legitimacy
Alvaro Boitier,"Economics, Finance, Finance & Economics, Technology",International Finance; Macroeconomics; International Trade; Corporate Hedging; Econometric Analysis; Dynamic Stochastic General Equilibrium; Quantitative Risk Modeling; Computational Macroeconomic Modeling; Financial Institutions; Multinational Corporations; Central Banking; Trade Finance; Global Shock Transmission; Macro-Financial Linkages; Cross-border Risk Sharing; Corporate Risk Management
Amanda Weirup,"Entrepreneurship, Leadership & Organizational Development",negotiation; conflict management; organizational behavior; entrepreneurship; experimental exercises; simulation-based learning; case study analysis; entrepreneurial ventures; startup negotiation; management consulting; negotiation pedagogy; jargon literacy; real-world negotiation analysis
Amy Blitz,"Entrepreneurship, Finance, Innovation & Strategy, Retail, Technology",Strategic Management; Innovation Strategy; Entrepreneurship; Economic Development; Macroeconomics; Political Economy; Qualitative Interviewing; Case Study Methodology; Technology Roadmapping; Disruptive Innovation Analysis; Business Model Innovation; Retail Sector; Transportation Industry; Financial Services; Rural Microfinance; Venture Capital; Manufacturing Industry; Digital Transformation; Business Disruption; Innovation Ecosystems; Transnational Alliances; Authoritarianism Studies
Amy Weil,"Accounting, Law & Governance, Finance, Law",Business Law; Real Estate Law; Legal Ethics; Corporate Governance; Case Study Analysis; Doctrinal Research; Contract Drafting; Legal Database Research; Real Estate Transactions; Corporate Compliance; Private Legal Practice; Risk Management; LegalTech Solutions; PropTech Integration; RegTech Innovation; Blockchain in Law
Andrew Carfang,"Economics, Finance, Finance & Economics, Healthcare, Marketing, Retail, Technology",Private equity; Investment banking; Healthcare management; Strategic management; Mergers and acquisitions; Financial modeling; Valuation analysis; Deal structuring; Forecasting models; Portfolio optimization; Equity financing; Healthcare services; Consumer retail; Financial services; Private equity funds; Dividend policy advisory; 
Andrew Corbett,"Entrepreneurship, Entrepreneurship & Small Ventures, Technology",Corporate entrepreneurship; Entrepreneurial leadership; Entrepreneurship education; Strategic renewal; Innovation management; Experiential learning; Cognitive apprenticeship; Scaffolding approach; Process modeling; Qualitative case studies; Corporate innovation; Small business management; Hybrid ventures; Venture accelerators; Entrepreneurial ecosystems; Negative-emotion learning; Entrepreneurial mindset shift; Opportunity development processes; Learning cycle models; Entrepreneurial learning frameworks
Andrew Zacharakis,"Entrepreneurship, Entrepreneurship & Small Ventures, Finance, Healthcare, Technology",Entrepreneurship theory; Venture capital; New venture creation; Entrepreneurial finance; Opportunity recognition; Venture failure; Conjoint analysis; Experimental design; Case study; Exploratory research; Survey methodology; Private equity; Corporate venture capital; Digital technology ventures; Healthcare startups; Food industry startups; Venture philanthropy; Strategic bootstrapping; Gendered risk-taking; Digital venture investing; Entrepreneurial ecosystems
Angela Randolph,"Entrepreneurship, Entrepreneurship & Small Ventures, Finance, Technology",Entrepreneurship; Corporate Entrepreneurship; Organizational Behavior; Diversity Leadership; Social Impact Ventures; Social Network Analysis; Survey Research; Statistical Modeling; Case Study Methodology; Venture Capital; Treasury Management; Banking Sector; Business Process Improvement; Entrepreneurial Persistence; Antisocial Behavior; Intersectional Entrepreneurship; Entrepreneurial Cognition; Workplace Prejudice
Angelo Santinelli,"Entrepreneurship, Entrepreneurship & Small Ventures, Marketing",Entrepreneurship; Venture Capital; Marketing Strategy; Entrepreneurship Education; Case Study Methodology; Practice-Based Learning; Simulation Exercises; Term Sheet Analysis; Early-Stage Financing; Startup Pitch Development; Venture Funding Processes; Entrepreneurial Training; Empathy-Driven Education; Experiential Entrepreneurship; Pedagogical Design; Design Thinking in Entrepreneurship
Anirudh Dhebar,"Finance, Innovation & Strategy, Marketing, Technology",Technology Marketing; Pricing Strategy; Innovation Management; Business Strategy; Enterprise Transformation; Systems dynamics modeling; Quantitative analysis; Case study research; Pricing models; Ecosystem analysis; Platform analysis; Computer industry; Consumer electronics; Life sciences; Media sector; Financial services; Pharmaceutical industry; Disruptive innovation; Domain convergence; Platform ecosystems; Service innovation; Science-technology ecosystems
Anjali Bal,"Marketing, Marketing & Consumer Behavior, Technology",Sports Marketing; Arts & Entertainment Marketing; Marketing Strategy; Consumer Behavior; Political Marketing; Generative AI; Crowdsourcing; Classroom Simulation; Automated Text Analysis; Correspondence Analysis; Psychographic Segmentation; Fine Art Market; Wine Marketing; Entertainment Management; Sports Management; Public Affairs; Culture Wars Branding; Fake News Sharing Behavior; AI-based Psychographic Segmentation; Digital Political Marketing
Anne Roggeveen,"Finance, Marketing, Marketing & Consumer Behavior, Retail, Technology",Retailing; Pricing Strategy; Consumer Behavior; Marketing Strategy; Consumer Psychology; Marketing Experiments; Text Mining; Survey Research; Case Study Method; Brick-and-Mortar Retail; E-commerce; Omni-channel Retailing; Social Media Marketing; Digital Retailing; Metaverse Retailing; Consumer Vulnerability; Behavioral Decision Making; Complaint De-escalation
