Faculty Name,Profile Interests,Categories,All Keywords
Aaron Shimoff,Accounting,"Accounting, Entrepreneurship, Finance, Law & Governance, Operations, Technology","Accounting Education, Entrepreneurship, Financial Accounting, Small Business Management, Small Business Operations, Technology Startups, Venture Exit Strategies"
Ab Igram,,"Entrepreneurship, Finance, Finance & Economics, Healthcare, Technology","Capital structuring, Conscious capital growth, Corporate venture capital, Cross-disciplinary programming, Debt structuring, Economic analysis, Entrepreneurship research, Financial modeling, Food & Beverage finance, Franchise investment, Franchise-focused investment funds, Franchising studies, Health & Wellness lending, Hospitality finance, Leveraged finance, Pet death care, Social impact entrepreneurship, Venture valuation"
Adam Sulkowski,"Corporate Social Responsibility, Environmental Entrepreneurship, Global Environmental Issues, Social Entrepreneurship, Socially Responsible Investing, Sustainability, Sustainable Entrepreneurship, Business Law","Accounting, Entrepreneurship, Law, Law & Governance, Sustainability","Business Law, Cannabis Industry Regulation, Computational Text Analysis, Corporate Social Responsibility, Empirical Study, Environmental Entrepreneurship, ESG Reporting Governance, Indigenous Shared Governance, Pandemic Environmental Governance, Proactive Law, Rainforest Conservation, Regime Theory, Social Entrepreneurship, Socially Responsible Investing, Sustainability, Systems-Based Approach, Transdisciplinary Analysis"
Ahmed Ahmed,,"Economics, Finance, Finance & Economics, Marketing, Technology","asset pricing models, cross-border financial linkages, development finance, econometric modeling, financial stability analysis, fiscal policy analysis, global monetary transmission, institutional investor behavior, insurance asset management, intermediary asset pricing, international finance, macroprudential policy analysis, monetary policy evaluation, pension fund management, policy-induced instability, public-corporate finance, quantitative analysis, risk modeling, stress-testing frameworks"
Albert Barnor,,"Economics, Finance & Economics",Economics
Alex Adamson,"Feminist Philosophy, Latin American, Philosophy Of Race, Political Philosophy, Queer, Social, Trans, Caribbean Philosophy",Humanities & Cultural Studies,"Caribbean decolonial philosophy, Coloniality of gender, Critical race theory, Decolonial critique, Decolonial feminist theory, Intersex liberation, Latin American decolonial philosophy, Marxist humanism, Philosophy of race, Queer and feminist philosophy, Queer dialectics, Scholar-activism, Social and political philosophy, Transmarxism"
Alexander Ruggeri,"Classics, Fantasy Literature, Film Theory, Intellectual History, Literary Modernism, Literary, Magical Realism, Poetics, Sound Studies, Audiovisuality",Humanities & Cultural Studies,"Audiovisuality, Intellectual History, Literary and Film Theory, Literary Modernism, Poetics, Sound Studies"
Alexandra Vivelo,,"Leadership & Organizational Development, Sustainability, Technology","biogeochemical modeling, biogeoscience, carbon cycling, carbon sequestration, chitin degradation, climate mitigation, decomposition ecology, ecosystem restoration, enzyme activity assays, evolutionary succession, functional genomics, fungal ecology, fungal microbiome, growth rate measurements, meta-analysis, microbial ecology"
Alia Crocker,"Healthcare, Human Capital Resources, Management Consulting, Mentorship, Problem Solving, Social Capital, Social Networks, Strategic Human Capital, Strategy, Coaching","Entrepreneurship, Entrepreneurship & Small Ventures, Healthcare, Technology","Absorptive capacity, Biotechnology, Commercial effectiveness, Entrepreneurial ecosystems, Forecasting, Healthcare consulting, Healthcare entrepreneurship, Human capital, Learning agility, Market analytics, Medical devices, Organizational agility, Organizational learning, Organizational performance, Pharmaceutical industry, Social capital, Social network analysis, Strategic management, Venture capital-funded startups"
Alicia Sartori,"Writing Theory, International Students","Artificial Intelligence, Humanities & Cultural Studies, Technology","Academic writing, AI-assisted writing, Business school education, Composition studies, Digital humanities, Higher education, Immersive learning environments, Instructional design, Intercultural writing pedagogy, International student services, International student support, Qualitative interviews, Second language writing, Survey research, University writing centers, Writing assessment frameworks, Writing pedagogy"
